,const,Market,SMB,HML,RMW,CMA
IBM,0.00042859584532517676,71.26732404611205,-1.3267926699736785,22.881635892414366,14.171425917724948,38.049710037760484
CSCO,-8.924948951095893e-06,88.22550125047351,6.723892437233986,-7.044859850383676,40.91223510955292,32.35066098809567
QCOM,-0.00022435176865231738,149.85114587628965,5.89177153129413,-38.238253616567015,11.98122621379795,31.48331433501155
INTC,-0.0009999394912078665,136.5177499486511,-8.833561769597038,-2.2918648635830916,-19.552929695950645,31.166648716914576
AVGO,0.00146899091696611,150.2785780266018,-13.875088387901043,-63.126304484185695,30.493532270170736,56.97038768811086
ADBE,-0.0002105946239338788,119.77499189746852,-34.984283539886206,-45.038469642423514,3.070253277106327,-38.83122052178828
NFLX,0.0007524868214702267,109.43022915174612,-47.33660521477861,-27.30175150772553,-40.42186240603063,-81.43104045163531
AMD,0.0002768130800166142,168.27566980627466,-20.17443199146692,-43.549330330340496,-25.059340407598505,-43.03865534566482
CRM,0.00042680937898202523,114.33099570993679,-33.62462028480442,-16.43539151286171,-61.65728878881827,-32.1275251576953
PYPL,-0.0007072107036047269,120.05941667595714,8.660597242355097,-8.432364779471984,-72.38427969240851,-55.44014828762304
ABNB,0.00022531759195587546,129.7380290056293,28.997008926045503,-20.509078557684337,-80.30362451501462,-10.32309580860326
UBER,0.0006414864444551309,106.7257639300234,23.363527058624257,-8.145540541063076,-122.61267745628352,-57.67789213853384
LYFT,-0.00013286321011539155,113.71093728631644,116.40531452016874,-18.69772684944294,-116.99511556100647,-54.166880234057764
SPY,0.00011633538019558524,98.99104997756086,-9.573834204722692,1.3996723785427527,7.357642724144499,3.6723724385755196
CAT,0.0003325182412868559,107.89230310298235,21.605549903737593,81.75270654817967,-10.56626415794891,0.5877156876875643
UPS,-0.00047718405733989153,88.7040593326762,10.616224299659399,22.406897052205377,27.883280643874258,-17.638329393860946
LOW,0.00017117950192530818,88.31815393328866,58.39432417120311,-16.410305233579994,62.05704129289073,-4.428068744105038
COST,0.0005693784326823903,85.41260563300555,-11.234843287768644,-34.65668854825421,48.97936532970073,16.977962644618596
GS,0.00048196463867517794,110.00561114548407,11.48152369506401,92.48433144930468,-18.333176685585705,-41.94937924709353
MS,0.0003689763186768032,115.4473833691218,3.9109718579217274,92.7656558523327,-33.13385394747723,-42.232544571311834
GE,0.0007183099604183768,112.77826995295848,20.698657504779423,35.00748194781445,-1.4001068663958625,25.92794359595647
F,-4.303672253452752e-05,139.35812376014968,54.046444482769715,59.18389460677136,1.240416996584174,-12.983120286254445
GM,-8.186150441101383e-05,129.63682531232763,49.20140774626562,68.67765770640594,-9.91475079009085,-30.826080100535354
UNH,0.00015001965284379244,59.40453416122601,-19.17507953312844,11.513350809052907,22.061128305178894,25.263359649076765
PFE,-0.00042845096155612854,47.89958496509097,-16.69273560167155,4.867842897084091,2.209904429924428,41.35440929946078
MRK,0.00017395443382887388,37.79259201716771,-19.80032786140326,3.656937239309174,10.481000844854295,38.773445392469334
BA,-0.0003885357891422786,113.48638635717155,32.69789028572094,21.691611164847494,-38.456030541604285,31.443209786158384
LMT,0.00021266904725619236,42.82567728205293,-19.489716045359454,24.126487686313464,-5.065175007894368,39.4499572800317
SBUX,-0.0003327477108902244,98.31108083113092,2.3556931233314486,-17.420305679718055,20.948193348200483,25.226951983835757
DIS,-0.00047579563915794266,93.28990443748636,-3.569790329082177,43.91459432627174,-36.12753992733426,-49.537825285031
BK,0.0002670586194794198,102.35747083923738,-4.3704692043241264,96.51118834060105,-18.55669167721472,-42.357753776007854
